TC_Gene	PSR_ID	Type	EAnnot	ENSG	GeneName	Tr	Strand
TC1500264_CAPN3	PSR150001575	-	ENSE00003743813	ENSG00000092529	CAPN3	ENST00000318023	1.0
TC1500264_CAPN3	PSR150001575	-	ENSE00001933492	ENSG00000092529	CAPN3	ENST00000357568	1.0
TC1500264_CAPN3	PSR150001575	-	ENSE00001933492	ENSG00000092529	CAPN3	ENST00000349748	1.0
TC1500264_CAPN3	PSR150001575	-	ENSE00002204882	ENSG00000092529	CAPN3	ENST00000397163	1.0
TC1500264_CAPN3	PSR150001576	-	ENSE00003800434	ENSG00000092529	CAPN3	ENST00000638141	1.0
TC1500264_CAPN3	PSR150001576	-	ENSE00003476707	ENSG00000092529	CAPN3	ENST00000357568	1.0
TC1500264_CAPN3	PSR150001576	-	ENSE00003476707	ENSG00000092529	CAPN3	ENST00000349748	1.0
TC1500264_CAPN3	PSR150001576	-	ENSE00003476707	ENSG00000092529	CAPN3	ENST00000397163	1.0
TC1500264_CAPN3	PSR150001576	-	ENSE00003476707	ENSG00000092529	CAPN3	ENST00000318023	1.0
TC1500264_CAPN3	PSR150001577	-	Intron	ENSG00000092529	CAPN3	-	-
TC1500264_CAPN3	PSR150001578	-	ENSE00003791787	ENSG00000092529	CAPN3	ENST00000638141	1.0
TC1500264_CAPN3	PSR150001578	-	ENSE00003563229	ENSG00000092529	CAPN3	ENST00000357568	1.0
TC1500264_CAPN3	PSR150001578	-	ENSE00003563229	ENSG00000092529	CAPN3	ENST00000349748	1.0
TC1500264_CAPN3	PSR150001578	-	ENSE00003563229	ENSG00000092529	CAPN3	ENST00000397163	1.0
TC1500264_CAPN3	PSR150001578	-	ENSE00003563229	ENSG00000092529	CAPN3	ENST00000318023	1.0
TC1500264_CAPN3	PSR150001579	-	ENSE00003573344	ENSG00000092529	CAPN3	ENST00000357568	1.0
TC1500264_CAPN3	PSR150001579	-	ENSE00003573344	ENSG00000092529	CAPN3	ENST00000349748	1.0
TC1500264_CAPN3	PSR150001579	-	ENSE00003573344	ENSG00000092529	CAPN3	ENST00000397163	1.0
TC1500264_CAPN3	PSR150001579	-	ENSE00003573344	ENSG00000092529	CAPN3	ENST00000318023	1.0
TC1500264_CAPN3	PSR150001579	-	ENSE00003793180	ENSG00000092529	CAPN3	ENST00000638141	1.0
TC1500264_CAPN3	PSR150001580	-	ENSE00003617374	ENSG00000092529	CAPN3	ENST00000357568	1.0
TC1500264_CAPN3	PSR150001580	-	ENSE00003617374	ENSG00000092529	CAPN3	ENST00000349748	1.0
TC1500264_CAPN3	PSR150001580	-	ENSE00003617374	ENSG00000092529	CAPN3	ENST00000397163	1.0
TC1500264_CAPN3	PSR150001580	-	ENSE00003617374	ENSG00000092529	CAPN3	ENST00000318023	1.0
